datetimestamp,bicycle_count,bicycle_counter_count
2019-10-01 00:00:00-07:00,54.0,61.0
2019-10-02 00:00:00-07:00,67.0,79.0
2019-10-03 00:00:00-07:00,69.0,90.0
2019-10-04 00:00:00-07:00,61.0,82.0
2019-10-05 00:00:00-07:00,74.0,100.0
2019-10-06 00:00:00-07:00,78.0,96.0
2019-10-07 00:00:00-07:00,55.0,70.0
2019-10-08 00:00:00-07:00,61.0,82.0
2019-10-09 00:00:00-07:00,74.0,93.0
2019-10-10 00:00:00-07:00,211.0,183.0
2019-10-11 00:00:00-07:00,76.0,94.0
2019-10-12 00:00:00-07:00,61.0,107.0
2019-10-13 00:00:00-07:00,101.0,141.0
2019-10-14 00:00:00-07:00,58.0,86.0
2019-10-15 00:00:00-07:00,56.0,63.0
2019-10-16 00:00:00-07:00,57.0,71.0
2019-10-17 00:00:00-07:00,52.0,73.0
2019-10-18 00:00:00-07:00,31.0,59.0
2019-10-19 00:00:00-07:00,65.0,91.0
2019-10-20 00:00:00-07:00,74.0,90.0
2019-10-21 00:00:00-07:00,47.0,95.0
2019-10-22 00:00:00-07:00,78.0,97.0
2019-10-23 00:00:00-07:00,57.0,75.0
2019-10-24 00:00:00-07:00,58.0,73.0
2019-10-25 00:00:00-07:00,62.0,78.0
2019-10-26 00:00:00-07:00,82.0,125.0
2019-10-27 00:00:00-07:00,61.0,80.0
2019-10-28 00:00:00-07:00,44.0,67.0
2019-10-29 00:00:00-07:00,56.0,63.0
2019-10-30 00:00:00-07:00,57.0,58.0
2019-10-31 00:00:00-07:00,48.0,56.0
2019-11-01 00:00:00-07:00,54.0,69.0
2019-11-02 00:00:00-07:00,62.0,88.0
2019-11-03 00:00:00-07:00,49.0,70.0
2019-11-04 00:00:00-08:00,57.0,71.0
2019-11-05 00:00:00-08:00,46.0,86.0
2019-11-06 00:00:00-08:00,52.0,77.0
2019-11-07 00:00:00-08:00,52.0,85.0
2019-11-08 00:00:00-08:00,61.0,71.0
2019-11-09 00:00:00-08:00,68.0,89.0
2019-11-10 00:00:00-08:00,68.0,74.0
2019-11-11 00:00:00-08:00,61.0,92.0
2019-11-12 00:00:00-08:00,53.0,52.0
2019-11-13 00:00:00-08:00,42.0,84.0
2019-11-14 00:00:00-08:00,46.0,72.0
2019-11-15 00:00:00-08:00,57.0,97.0
2019-11-16 00:00:00-08:00,83.0,100.0
2019-11-17 00:00:00-08:00,79.0,84.0
2019-11-18 00:00:00-08:00,53.0,59.0
2019-11-19 00:00:00-08:00,34.0,57.0
2019-11-20 00:00:00-08:00,13.0,26.0
2019-11-21 00:00:00-08:00,49.0,46.0
2019-11-22 00:00:00-08:00,44.0,69.0
2019-11-23 00:00:00-08:00,67.0,77.0
2019-11-24 00:00:00-08:00,57.0,74.0
2019-11-25 00:00:00-08:00,43.0,53.0
2019-11-26 00:00:00-08:00,38.0,64.0
2019-11-27 00:00:00-08:00,17.0,36.0
2019-11-28 00:00:00-08:00,5.0,5.0
2019-11-29 00:00:00-08:00,8.0,29.0
2019-11-30 00:00:00-08:00,29.0,39.0
2019-12-01 00:00:00-08:00,47.0,46.0
2019-12-02 00:00:00-08:00,32.0,50.0
2019-12-03 00:00:00-08:00,47.0,49.0
2019-12-04 00:00:00-08:00,10.0,8.0
2019-12-05 00:00:00-08:00,42.0,54.0
2019-12-06 00:00:00-08:00,43.0,45.0
2019-12-07 00:00:00-08:00,19.0,13.0
2019-12-08 00:00:00-08:00,22.0,22.0
